/home/gena/Develop/comp_vision/dnn/openvino_dev//devices_detection/truck_learning/train_after_xmlbin/one_iter/export/cpp/model_beforeMO.xml
[ WARNING ] Automatically detected layout '[N,C,H,W]' for input 'image' will be used.

OPS_NAME

reconvert.cpp#251: nodes number=987,ordered=987
reconvert.cpp#255: friendly_name = Conv_42/WithoutBiases, ops_name = GroupConvolution_119
reconvert.cpp#255: friendly_name = Reshape_1157, ops_name = Constant_117
reconvert.cpp#255: friendly_name = Clip_41, ops_name = Clamp_115
reconvert.cpp#255: friendly_name = Conv_38, ops_name = Add_113
reconvert.cpp#255: friendly_name = Reshape_1120, ops_name = Constant_111
reconvert.cpp#255: friendly_name = Conv_38/WithoutBiases, ops_name = Convolution_109
reconvert.cpp#255: friendly_name = 1300, ops_name = Constant_107
reconvert.cpp#255: friendly_name = Add_37, ops_name = Add_105
reconvert.cpp#255: friendly_name = Conv_27, ops_name = Add_75
reconvert.cpp#255: friendly_name = Reshape_850, ops_name = Constant_73
reconvert.cpp#255: friendly_name = Conv_27/WithoutBiases, ops_name = Convolution_71
reconvert.cpp#255: friendly_name = 1288, ops_name = Constant_69
reconvert.cpp#255: friendly_name = Clip_26, ops_name = Clamp_67
reconvert.cpp#255: friendly_name = Conv_23, ops_name = Add_65
reconvert.cpp#255: friendly_name = Reshape_800, ops_name = Constant_63
reconvert.cpp#255: friendly_name = Conv_23/WithoutBiases, ops_name = GroupConvolution_61
reconvert.cpp#255: friendly_name = Reshape_714, ops_name = Constant_59
reconvert.cpp#255: friendly_name = Clip_22, ops_name = Clamp_57
reconvert.cpp#255: friendly_name = Conv_19, ops_name = Add_55
reconvert.cpp#255: friendly_name = Reshape_677, ops_name = Constant_53
reconvert.cpp#255: friendly_name = Conv_19/WithoutBiases, ops_name = Convolution_51
reconvert.cpp#255: friendly_name = 1282, ops_name = Constant_49
reconvert.cpp#255: friendly_name = Conv_18, ops_name = Add_47
reconvert.cpp#255: friendly_name = Reshape_629, ops_name = Constant_45
reconvert.cpp#255: friendly_name = Conv_18/WithoutBiases, ops_name = Convolution_43
reconvert.cpp#255: friendly_name = 1279, ops_name = Constant_41
reconvert.cpp#255: friendly_name = Clip_17, ops_name = Clamp_39
reconvert.cpp#255: friendly_name = Conv_14, ops_name = Add_37
reconvert.cpp#255: friendly_name = Reshape_579, ops_name = Constant_35
reconvert.cpp#255: friendly_name = Conv_14/WithoutBiases, ops_name = GroupConvolution_33
reconvert.cpp#255: friendly_name = Reshape_493, ops_name = Constant_31
reconvert.cpp#255: friendly_name = Clip_13, ops_name = Clamp_29
reconvert.cpp#255: friendly_name = Conv_10, ops_name = Add_27
reconvert.cpp#255: friendly_name = Reshape_456, ops_name = Constant_25
reconvert.cpp#255: friendly_name = Conv_10/WithoutBiases, ops_name = Convolution_23
reconvert.cpp#255: friendly_name = 1273, ops_name = Constant_21
reconvert.cpp#255: friendly_name = Clip_9, ops_name = Clamp_19
reconvert.cpp#255: friendly_name = Conv_6, ops_name = Add_17
reconvert.cpp#255: friendly_name = Reshape_406, ops_name = Constant_15
reconvert.cpp#255: friendly_name = Conv_6/WithoutBiases, ops_name = Convolution_13
reconvert.cpp#255: friendly_name = 1270, ops_name = Constant_11
reconvert.cpp#255: friendly_name = Divide_6705, ops_name = Multiply_9
reconvert.cpp#255: friendly_name = Constant_18874, ops_name = Constant_7
reconvert.cpp#255: friendly_name = Subtract_6703, ops_name = Subtract_5
